date,season,league,home_team,away_team,market,model_prob,break_even_odds,benchmark_odds,profit_benchmark
2021-10-31,2122,Serie A,Roma,Milan,BTTS_NO,0.44999999999999996,2.2222222222222223,2.1164021164021167,-1.0
2021-10-31,2122,Serie A,Salernitana,Napoli,OVER25,0.6499999999999999,1.5384615384615388,1.4652014652014655,-1.0
2021-10-31,2122,Serie A,Salernitana,Napoli,UNDER25,0.3500000000000001,2.8571428571428563,2.7210884353741487,1.7210884353741487
2021-10-31,2122,Serie A,Salernitana,Napoli,BTTS_YES,0.4,2.5,2.380952380952381,-1.0
2021-10-31,2122,Serie A,Salernitana,Napoli,BTTS_NO,0.6,1.6666666666666667,1.5873015873015872,0.5873015873015872
2021-10-31,2122,Serie A,Sassuolo,Empoli,OVER25,0.6499999999999999,1.5384615384615388,1.4652014652014655,0.46520146520146555
2021-10-31,2122,Serie A,Sassuolo,Empoli,UNDER25,0.3500000000000001,2.8571428571428563,2.7210884353741487,-1.0
2021-10-31,2122,Serie A,Sassuolo,Empoli,BTTS_YES,0.6,1.6666666666666667,1.5873015873015872,0.5873015873015872
2021-10-31,2122,Serie A,Sassuolo,Empoli,BTTS_NO,0.4,2.5,2.380952380952381,-1.0
2021-11-01,2122,La Liga,Levante,Granada,OVER25,0.35,2.857142857142857,2.7210884353741496,1.7210884353741496
2021-11-01,2122,La Liga,Levante,Granada,UNDER25,0.65,1.5384615384615383,1.4652014652014649,-1.0
2021-11-01,2122,La Liga,Levante,Granada,BTTS_YES,0.55,1.8181818181818181,1.7316017316017311,-1.0
2021-11-01,2122,La Liga,Levante,Granada,BTTS_NO,0.44999999999999996,2.2222222222222223,2.1164021164021167,1.1164021164021167
2021-11-01,2122,La Liga,Vallecano,Celta,OVER25,0.44999999999999996,2.2222222222222223,2.1164021164021167,-1.0
2021-11-01,2122,La Liga,Vallecano,Celta,UNDER25,0.55,1.8181818181818181,1.7316017316017311,0.7316017316017311
2021-11-01,2122,La Liga,Vallecano,Celta,BTTS_YES,0.35,2.857142857142857,2.7210884353741496,-1.0
2021-11-01,2122,La Liga,Vallecano,Celta,BTTS_NO,0.65,1.5384615384615383,1.4652014652014649,0.4652014652014649
2021-11-01,2122,Serie A,Bologna,Cagliari,OVER25,0.7,1.4285714285714286,1.3605442176870748,-1.0
2021-11-01,2122,Serie A,Bologna,Cagliari,UNDER25,0.30000000000000004,3.333333333333333,3.174603174603174,2.174603174603174
2021-11-01,2122,Serie A,Bologna,Cagliari,BTTS_YES,0.6499999999999999,1.5384615384615388,1.4652014652014655,-1.0
2021-11-01,2122,Serie A,Bologna,Cagliari,BTTS_NO,0.3500000000000001,2.8571428571428563,2.7210884353741487,1.7210884353741487
2021-11-05,2122,Bundesliga,Mainz,M'gladbach,OVER25,0.5,2.0,1.9047619047619047,-1.0
2021-11-05,2122,Bundesliga,Mainz,M'gladbach,UNDER25,0.5,2.0,1.9047619047619047,0.9047619047619047
2021-11-05,2122,Bundesliga,Mainz,M'gladbach,BTTS_YES,0.5,2.0,1.9047619047619047,0.9047619047619047
2021-11-05,2122,Bundesliga,Mainz,M'gladbach,BTTS_NO,0.5,2.0,1.9047619047619047,-1.0
