season,date,league,home_team,away_team,selection,model_probability,market_probability,edge,reference_odds,odds_source,profit_units
2122,2022-02-12,Bundesliga,Greuther Furth,Hertha,OVER25,0.6,0.48825065274151447,0.11174934725848551,1.96,Media mercato Football-Data,0.96
2122,2022-02-12,Bundesliga,M'gladbach,Augsburg,OVER25,0.6000000000000001,0.5644329896907216,0.035567010309278446,1.69,Media mercato Football-Data,0.69
2122,2022-02-12,Bundesliga,Leverkusen,Stuttgart,OVER25,0.7,0.6515513126491647,0.048448687350835296,1.46,Media mercato Football-Data,0.45999999999999996
2122,2022-02-13,Bundesliga,Union Berlin,Dortmund,OVER25,0.7,0.5841836734693877,0.11581632653061225,1.63,Media mercato Football-Data,0.6299999999999999
2122,2022-02-13,Bundesliga,Hoffenheim,Bielefeld,UNDER25,0.5,0.42930591259640094,0.07069408740359906,2.22,Media mercato Football-Data,1.2200000000000002
2122,2022-02-18,Bundesliga,Mainz,Leverkusen,OVER25,0.8,0.5618556701030928,0.23814432989690726,1.7,Media mercato Football-Data,0.7
2122,2022-02-19,Bundesliga,Augsburg,Freiburg,OVER25,0.5,0.47780678851174935,0.022193211488250653,2.0,Media mercato Football-Data,1.0
2122,2022-02-19,Bundesliga,Bielefeld,Union Berlin,UNDER25,0.6,0.5769230769230769,0.023076923076923106,1.65,Media mercato Football-Data,0.6499999999999999
2122,2022-02-19,Bundesliga,Stuttgart,Bochum,UNDER25,0.55,0.49869451697127937,0.05130548302872068,1.92,Media mercato Football-Data,0.9199999999999999
2122,2022-02-19,Bundesliga,Wolfsburg,Hoffenheim,OVER25,0.6,0.5518134715025906,0.04818652849740934,1.73,Media mercato Football-Data,0.73
2122,2022-02-19,Bundesliga,FC Koln,Ein Frankfurt,OVER25,0.6,0.5944584382871536,0.005541561712846366,1.61,Media mercato Football-Data,-1.0
2122,2022-02-20,Bundesliga,Bayern Munich,Greuther Furth,UNDER25,0.19999999999999996,0.1745068285280728,0.025493171471927145,5.44,Media mercato Football-Data,-1.0
2122,2022-02-20,Bundesliga,Dortmund,M'gladbach,OVER25,0.8500000000000001,0.6713286713286714,0.17867132867132873,1.41,Media mercato Football-Data,0.4099999999999999
2122,2022-02-20,Bundesliga,Hertha,RB Leipzig,OVER25,0.6,0.5681233933161953,0.031876606683804654,1.68,Media mercato Football-Data,0.6799999999999999
2122,2022-02-25,Bundesliga,Hoffenheim,Stuttgart,UNDER25,0.44999999999999996,0.38213399503722084,0.06786600496277911,2.49,Media mercato Football-Data,-1.0
2122,2022-02-26,Bundesliga,Freiburg,Hertha,OVER25,0.6499999999999999,0.5440414507772021,0.1059585492227978,1.76,Media mercato Football-Data,0.76
2122,2022-02-26,Bundesliga,Greuther Furth,FC Koln,OVER25,0.6,0.5618556701030928,0.03814432989690719,1.7,Media mercato Football-Data,-1.0
2122,2022-02-26,Bundesliga,Leverkusen,Bielefeld,UNDER25,0.4,0.38118811881188125,0.018811881188118773,2.5,Media mercato Football-Data,-1.0
2122,2022-02-26,Bundesliga,M'gladbach,Wolfsburg,OVER25,0.65,0.5338541666666666,0.11614583333333339,1.79,Media mercato Football-Data,0.79
