target,league,selection,min_edge,min_odds,max_odds,bets,profit_units,roi,hit_rate,avg_odds,tested_seasons,positive_seasons,worst_season_roi
OU25,Greece Super League,OVER25,0.03,1.5,4.0,344,35.86,0.10424418604651163,0.5261627906976745,2.1301162790697674,3,3,0.013396226415094331
OU25,Greece Super League,OVER25,0.03,1.5,,344,35.86,0.10424418604651163,0.5261627906976745,2.1301162790697674,3,3,0.013396226415094331
OU25,Greece Super League,TUTTI,0.05,2.0,4.0,278,28.939999999999998,0.10410071942446042,0.49280575539568344,2.2845323741007193,3,3,0.05797872340425531
OU25,Greece Super League,TUTTI,0.12,1.35,4.0,175,18.18,0.10388571428571429,0.52,2.1849142857142856,3,3,0.0023636363636363616
OU25,Greece Super League,TUTTI,0.09,1.35,,264,27.41,0.10382575757575757,0.5227272727272727,2.1734469696969696,3,3,0.001927710843373469
OU25,Greece Super League,OVER25,0.03,1.35,2.5,319,32.989999999999995,0.1034169278996865,0.5360501567398119,2.077241379310345,3,3,0.005113636363636345
OU25,Portugal Primeira Liga,TUTTI,0.03,1.65,2.0,239,24.700000000000003,0.10334728033472805,0.606694560669456,1.832050209205021,3,3,0.00461538461538463
OU25,Greece Super League,TUTTI,0.09,1.5,,263,27.0,0.10266159695817491,0.5209125475285171,2.1763498098859317,3,3,0.001927710843373469
OU25,Greece Super League,OVER25,0.03,1.8,3.0,304,31.08,0.10223684210526315,0.506578947368421,2.1823355263157893,3,3,0.051515151515151486
OU25,Greece Super League,TUTTI,0.12,1.5,4.0,174,17.769999999999996,0.10212643678160917,0.5172413793103449,2.189367816091954,3,3,0.0023636363636363616
OU25,Greece Super League,TUTTI,0.09,1.8,,239,24.379999999999992,0.10200836820083678,0.5062761506276151,2.2260669456066946,3,3,0.022439024390243895
OU25,Greece Super League,OVER25,0.03,1.35,4.0,346,35.269999999999996,0.10193641618497108,0.5260115606936416,2.1260982658959535,3,3,0.003925233644859821
OU25,Greece Super League,OVER25,0.03,1.35,,346,35.269999999999996,0.10193641618497108,0.5260115606936416,2.1260982658959535,3,3,0.003925233644859821
OU25,Scotland League One,TUTTI,0.12,1.65,2.5,124,12.510000000000003,0.10088709677419358,0.5483870967741935,2.035241935483871,3,3,0.05893617021276593
OU25,Greece Super League,TUTTI,0.05,2.0,,279,27.939999999999998,0.10014336917562723,0.4910394265232975,2.2957706093189962,3,3,0.05797872340425531
OU25,Greece Super League,TUTTI,0.05,1.8,3.0,371,36.73,0.09900269541778975,0.5121293800539084,2.173018867924528,3,3,0.02845528455284552
OU25,Greece Super League,TUTTI,0.12,1.8,,161,15.92,0.09888198757763975,0.5031055900621118,2.2540372670807454,3,3,0.007169811320754715
OU25,England National League,OVER25,0.05,1.35,2.2,149,14.579999999999998,0.09785234899328858,0.5906040268456376,1.8693288590604025,3,3,0.008823529411764694
OU25,Greece Super League,TUTTI,0.12,1.35,,176,17.179999999999996,0.09761363636363635,0.5170454545454546,2.2032954545454544,3,3,0.0023636363636363616
OU25,Greece Super League,TUTTI,0.03,2.0,3.0,321,31.25,0.09735202492211838,0.48909657320872274,2.2750778816199375,3,3,0.08111111111111106
OU25,Greece Super League,OVER25,0.03,1.8,2.5,279,26.799999999999997,0.09605734767025088,0.5125448028673835,2.138853046594982,3,3,0.03817073170731707
OU25,Greece Super League,TUTTI,0.12,1.5,,175,16.769999999999996,0.0958285714285714,0.5142857142857142,2.2078285714285713,3,3,0.0023636363636363616
OU25,Germany 2. Bundesliga,TUTTI,0.12,2.0,2.5,152,14.540000000000003,0.09565789473684212,0.48026315789473684,2.278815789473684,3,3,0.04999999999999998
OU25,Italy Serie A,UNDER25,0.09,1.65,4.0,144,13.759999999999998,0.09555555555555555,0.4930555555555556,2.233333333333333,3,3,0.036000000000000004
OU25,Italy Serie A,UNDER25,0.09,1.35,4.0,147,14.009999999999998,0.09530612244897958,0.4965986394557823,2.220544217687075,3,3,0.036000000000000004
OU25,Italy Serie A,UNDER25,0.09,1.5,4.0,147,14.009999999999998,0.09530612244897958,0.4965986394557823,2.220544217687075,3,3,0.036000000000000004
OU25,Greece Super League,OVER25,0.03,1.8,4.0,306,29.080000000000002,0.0950326797385621,0.5032679738562091,2.1886601307189544,3,3,0.03069306930693069
OU25,Greece Super League,OVER25,0.03,1.8,,306,29.080000000000002,0.0950326797385621,0.5032679738562091,2.1886601307189544,3,3,0.03069306930693069
OU25,Greece Super League,TUTTI,0.12,1.65,4.0,168,15.799999999999997,0.09404761904761903,0.5059523809523809,2.2105357142857143,3,3,0.0023636363636363616
OU25,England National League,OVER25,0.05,1.65,2.5,151,13.759999999999998,0.09112582781456953,0.5629139072847682,1.9688079470198674,3,3,0.06799999999999994
OU25,England National League,OVER25,0.05,1.65,3.0,151,13.759999999999998,0.09112582781456953,0.5629139072847682,1.9688079470198674,3,3,0.06799999999999994
OU25,England National League,OVER25,0.05,1.65,4.0,151,13.759999999999998,0.09112582781456953,0.5629139072847682,1.9688079470198674,3,3,0.06799999999999994
OU25,England National League,OVER25,0.05,1.65,,151,13.759999999999998,0.09112582781456953,0.5629139072847682,1.9688079470198674,3,3,0.06799999999999994
OU25,Germany 2. Bundesliga,UNDER25,0.12,2.0,2.5,151,13.340000000000002,0.08834437086092717,0.4768211920529801,2.2793377483443704,3,3,0.04999999999999998
OU25,Italy Serie A,UNDER25,0.09,1.65,,145,12.759999999999998,0.08799999999999998,0.4896551724137931,2.247448275862069,3,3,0.013478260869565219
OU25,Italy Serie A,UNDER25,0.09,1.35,,148,13.009999999999998,0.0879054054054054,0.49324324324324326,2.2344594594594596,3,3,0.013478260869565219
OU25,Italy Serie A,UNDER25,0.09,1.5,,148,13.009999999999998,0.0879054054054054,0.49324324324324326,2.2344594594594596,3,3,0.013478260869565219
OU25,Greece Super League,TUTTI,0.12,1.65,,169,14.799999999999997,0.0875739644970414,0.5029585798816568,2.229526627218935,3,3,0.0023636363636363616
OU25,Greece Super League,TUTTI,0.05,1.8,4.0,375,32.73,0.08728,0.5066666666666667,2.1852799999999997,3,3,0.011999999999999986
OU25,Germany 2. Bundesliga,TUTTI,0.12,1.8,2.5,162,14.06,0.08679012345679013,0.48148148148148145,2.255864197530864,3,3,0.029411764705882346
OU25,Greece Super League,TUTTI,0.03,1.8,2.5,394,33.5,0.0850253807106599,0.5126903553299492,2.1179187817258884,3,3,0.0645890410958904
OU25,Greece Super League,TUTTI,0.05,1.8,,376,31.730000000000004,0.08438829787234044,0.5053191489361702,2.193882978723404,3,3,0.011999999999999986
OU25,Italy Serie A,UNDER25,0.09,1.8,4.0,133,10.859999999999996,0.08165413533834584,0.47368421052631576,2.274962406015038,3,3,0.021363636363636373
OU25,Greece Super League,TUTTI,0.03,2.0,4.0,326,26.249999999999996,0.08052147239263803,0.4815950920245399,2.2904601226993866,3,3,0.07119266055045873
OU25,Germany 2. Bundesliga,TUTTI,0.12,1.35,2.5,163,13.060000000000002,0.08012269938650309,0.4785276073619632,2.2525153374233127,3,3,0.009615384615384607
OU25,Germany 2. Bundesliga,TUTTI,0.12,1.5,2.5,163,13.060000000000002,0.08012269938650309,0.4785276073619632,2.2525153374233127,3,3,0.009615384615384607
OU25,Germany 2. Bundesliga,TUTTI,0.12,1.65,2.5,163,13.060000000000002,0.08012269938650309,0.4785276073619632,2.2525153374233127,3,3,0.009615384615384607
