league,selection,min_edge,season,bets,profit_units,roi,hit_rate,avg_odds
Serie A,OVER25,0.05,2324,110,-3.450000000000002,-0.03136363636363638,0.4909090909090909,2.027272727272727
Serie A,OVER25,0.05,2425,124,-3.259999999999999,-0.02629032258064515,0.5,2.018951612903226
Serie A,OVER25,0.05,2526,135,13.100000000000001,0.09703703703703705,0.5037037037037037,2.184962962962963
Serie A,UNDER25,0.05,TOTALE,644,23.79,0.036940993788819876,0.532608695652174,1.983276397515528
Serie A,UNDER25,0.05,2122,116,8.559999999999999,0.07379310344827585,0.5,2.210948275862069
Serie A,UNDER25,0.05,2223,159,-0.6799999999999997,-0.0042767295597484255,0.5094339622641509,1.9629559748427667
Serie A,UNDER25,0.05,2324,113,9.370000000000003,0.08292035398230091,0.5575221238938053,1.9839823008849558
Serie A,UNDER25,0.05,2425,117,-0.3300000000000012,-0.0028205128205128307,0.5299145299145299,1.9294871794871793
Serie A,UNDER25,0.05,2526,139,6.869999999999999,0.049424460431654674,0.5683453237410072,1.8612230215827337
Serie A,TUTTI,0.05,TOTALE,1179,14.68,0.012451229855810009,0.5190839694656488,1.9910517387616622
Serie A,TUTTI,0.05,2122,201,6.6000000000000005,0.032835820895522394,0.5323383084577115,2.005721393034826
Serie A,TUTTI,0.05,2223,240,-14.22,-0.059250000000000004,0.4875,1.9472083333333332
Serie A,TUTTI,0.05,2324,223,5.919999999999998,0.026547085201793715,0.5246636771300448,2.005336322869955
Serie A,TUTTI,0.05,2425,241,-3.5900000000000016,-0.014896265560165982,0.5145228215767634,1.9755186721991702
Serie A,TUTTI,0.05,2526,274,19.970000000000002,0.07288321167883212,0.5364963503649635,2.0207299270072996
Bundesliga,OVER25,0.05,TOTALE,507,-38.92,-0.07676528599605523,0.5542406311637081,1.6992702169625247
Bundesliga,OVER25,0.05,2122,54,-8.47,-0.15685185185185185,0.48148148148148145,1.7735185185185187
Bundesliga,OVER25,0.05,2223,125,-4.6499999999999995,-0.0372,0.552,1.7626399999999995
Bundesliga,OVER25,0.05,2324,104,-2.1899999999999995,-0.0210576923076923,0.6153846153846154,1.6199038461538462
Bundesliga,OVER25,0.05,2425,101,-10.990000000000002,-0.10881188118811883,0.5445544554455446,1.665940594059406
Bundesliga,OVER25,0.05,2526,123,-12.62,-0.10260162601626016,0.5447154471544715,1.6967479674796746
